filename;iterCount;runtime;fingerprint;numVars;nodeCount;maxRHS;level
hashi_0 - 2022-04-21T142203.982.txt;0.0;8.998871;-1.32671437E9;3362.0;0.0;40.0;null
hashi_0 - 2022-04-21T142204.990.txt;0.0;10.99968;3.03306656E8;3200.0;0.0;39.0;HARD
hashi_0 - 2022-04-21T142206.125.txt;0.0;14.995575;-1.76368346E9;3200.0;0.0;39.0;HARD
hashi_0 - 2022-04-21T142207.529.txt;0.0;14.99939;-8.4442061E8;3200.0;0.0;39.0;VERY_HARD
hashi_0 - 2022-04-21T142355.818.txt;0.0;2.0008087;5.970736E8;578.0;0.0;16.0;MEDIUM
hashi_0 - 2022-04-21T142356.699.txt;0.0;1.9989014;-5.34925216E8;722.0;0.0;18.0;VERY_HARD
hashi_0 - 2022-04-21T142357.592.txt;0.0;3.99971;6.3119059E8;648.0;0.0;17.0;PRETTY_EASY
hashi_0 - 2022-04-21T142358.409.txt;0.0;6.002426;-1.43599411E9;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142359.392.txt;0.0;2.002716;-1.93831437E9;578.0;0.0;16.0;SUPER_HARD
hashi_0 - 2022-04-21T142400.493.txt;0.0;1.9989014;-4.43747264E8;648.0;0.0;17.0;SUPER_HARD
hashi_0 - 2022-04-21T142401.420.txt;0.0;3.0002594;1.27218099E9;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142402.501.txt;0.0;2.002716;-7.1373958E8;512.0;0.0;15.0;PRETTY_EASY
hashi_0 - 2022-04-21T142403.409.txt;0.0;1.9989014;1.64351552E9;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142404.293.txt;0.0;2.0008087;-1.26788147E9;578.0;0.0;16.0;SUPER_HARD
hashi_0 - 2022-04-21T142405.284.txt;0.0;3.9978027;-9.6549888E8;800.0;0.0;19.0;SUPER_HARD
hashi_0 - 2022-04-21T142406.313.txt;0.0;0.9994507;-1.81444672E9;512.0;0.0;15.0;HARD
hashi_0 - 2022-04-21T142407.273.txt;0.0;2.002716;-5.11183072E8;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142408.350.txt;0.0;2.0008087;-2.03815898E9;722.0;0.0;18.0;MEDIUM
hashi_0 - 2022-04-21T142409.335.txt;0.0;0.9994507;1.81085901E9;648.0;0.0;17.0;VERY_HARD
hashi_0 - 2022-04-21T142410.534.txt;0.0;2.998352;-5.5861235E8;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142411.655.txt;0.0;1.001358;-1.14227584E9;578.0;0.0;16.0;MEDIUM
hashi_0 - 2022-04-21T142412.732.txt;0.0;1.9950867;6.8450067E8;512.0;0.0;15.0;HARD
hashi_0 - 2022-04-21T142413.752.txt;0.0;3.004074;1.63407834E9;648.0;0.0;17.0;SUPER_HARD
hashi_0 - 2022-04-21T142414.741.txt;0.0;2.0008087;8.2243386E8;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142415.758.txt;0.0;2.0046234;-1.97386125E9;578.0;0.0;16.0;MEDIUM
hashi_0 - 2022-04-21T142416.802.txt;0.0;3.0002594;-7.1405043E8;512.0;0.0;15.0;EASY
hashi_0 - 2022-04-21T142417.957.txt;0.0;3.0002594;1.07048877E9;578.0;0.0;16.0;MEDIUM
hashi_0 - 2022-04-21T142418.923.txt;0.0;0.9994507;3.66962016E8;648.0;0.0;17.0;PRETTY_EASY
hashi_0 - 2022-04-21T142419.906.txt;0.0;0.9994507;-2.6518708E7;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142420.994.txt;0.0;2.9907227;-6.6208288E8;722.0;0.0;18.0;PRETTY_EASY
hashi_0 - 2022-04-21T142422.123.txt;0.0;2.0008087;-4.91946816E8;648.0;0.0;17.0;MEDIUM
hashi_0 - 2022-04-21T142423.346.txt;0.0;1.0032654;-5.9563706E8;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142424.322.txt;0.0;0.9994507;7.365111E8;512.0;0.0;15.0;MEDIUM
hashi_0 - 2022-04-21T142425.451.txt;0.0;0.9975433;-3.18503616E8;512.0;0.0;15.0;EASY
hashi_0 - 2022-04-21T142426.846.txt;0.0;4.0016174;3.42514208E8;578.0;0.0;16.0;PRETTY_EASY
hashi_0 - 2022-04-21T142427.858.txt;0.0;1.0032654;3.02265856E8;578.0;0.0;16.0;PRETTY_EASY
hashi_0 - 2022-04-21T142428.759.txt;0.0;1.9893646;-1.36454182E9;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142429.728.txt;0.0;3.0117035;-1.17462797E9;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142430.787.txt;0.0;1.9989014;9.3167648E8;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142431.966.txt;0.0;0.9975433;-1.71153754E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142433.023.txt;0.0;4.003525;1.41688934E9;800.0;0.0;19.0;VERY_HARD
hashi_0 - 2022-04-21T142434.080.txt;0.0;2.998352;2.70750848E8;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142435.244.txt;0.0;1.9989014;1.05053062E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142436.840.txt;0.0;1.9989014;7.9376006E8;648.0;0.0;17.0;EASY
hashi_0 - 2022-04-21T142437.809.txt;0.0;1.9989014;-2.9103472E8;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142439.042.txt;0.0;1.001358;1.52057216E9;578.0;0.0;16.0;VERY_HARD
hashi_0 - 2022-04-21T142440.020.txt;0.0;2.0008087;-1.45054669E9;512.0;0.0;15.0;HARD
hashi_0 - 2022-04-21T142440.970.txt;0.0;2.002716;1.94793408E8;512.0;0.0;15.0;EASY
hashi_0 - 2022-04-21T142442.132.txt;0.0;2.99263;-6.8578336E8;722.0;0.0;18.0;VERY_HARD
hashi_0 - 2022-04-21T142443.314.txt;0.0;3.004074;-2.83047904E8;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142444.292.txt;0.0;1.9989014;-1.30514483E9;648.0;0.0;17.0;MEDIUM
hashi_0 - 2022-04-21T142445.285.txt;0.0;2.0103455;1.12811622E9;722.0;0.0;18.0;MEDIUM
hashi_0 - 2022-04-21T142446.260.txt;0.0;2.998352;-1.48170611E9;512.0;0.0;15.0;MEDIUM
hashi_0 - 2022-04-21T142447.414.txt;0.0;1.9989014;1.4378624E9;648.0;0.0;17.0;EASY
hashi_0 - 2022-04-21T142448.550.txt;0.0;1.9950867;-9.1001805E8;578.0;0.0;16.0;VERY_HARD
hashi_0 - 2022-04-21T142449.579.txt;0.0;4.0016174;-1.31685222E9;648.0;0.0;17.0;MEDIUM
hashi_0 - 2022-04-21T142450.713.txt;0.0;3.0002594;1.44653862E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142451.780.txt;0.0;0.9994507;1.38335693E9;648.0;0.0;17.0;EASY
hashi_0 - 2022-04-21T142452.954.txt;0.0;2.9945374;-2.11787738E9;800.0;0.0;19.0;HARD
hashi_0 - 2022-04-21T142454.136.txt;0.0;2.9945374;-2.11787738E9;800.0;0.0;19.0;SUPER_HARD
hashi_0 - 2022-04-21T142455.251.txt;0.0;1.001358;6.7303571E8;722.0;0.0;18.0;SUPER_HARD
hashi_0 - 2022-04-21T142456.435.txt;0.0;2.002716;-1.7110967E9;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142457.511.txt;0.0;2.0046234;-1573293.0;648.0;0.0;17.0;SUPER_HARD
hashi_0 - 2022-04-21T142458.635.txt;0.0;1.9989014;3.6897312E8;722.0;0.0;18.0;MEDIUM
hashi_0 - 2022-04-21T142459.616.txt;0.0;0.9994507;4.27992992E8;512.0;0.0;15.0;PRETTY_EASY
hashi_0 - 2022-04-21T142500.880.txt;0.0;1.9989014;-2.88270528E8;578.0;0.0;16.0;SUPER_HARD
hashi_0 - 2022-04-21T142502.031.txt;0.0;2.998352;-4.83243904E8;648.0;0.0;17.0;EASY
hashi_0 - 2022-04-21T142503.185.txt;0.0;1.001358;-8.540576E8;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142504.184.txt;0.0;1.991272;-1.77219558E9;722.0;0.0;18.0;PRETTY_EASY
hashi_0 - 2022-04-21T142505.476.txt;0.0;2.002716;-1.47483776E8;722.0;0.0;18.0;MEDIUM
hashi_0 - 2022-04-21T142506.586.txt;0.0;2.0103455;1.95113754E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142507.748.txt;0.0;3.0002594;9.8785952E8;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142508.766.txt;0.0;5.0029755;1.99012992E9;722.0;0.0;18.0;VERY_HARD
hashi_0 - 2022-04-21T142509.807.txt;0.0;3.004074;1.07098291E9;578.0;0.0;16.0;EASY
hashi_0 - 2022-04-21T142511.066.txt;0.0;3.004074;-5.15461856E8;648.0;0.0;17.0;MEDIUM
hashi_0 - 2022-04-21T142512.159.txt;0.0;2.0008087;-1.74485862E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142513.224.txt;0.0;3.0021667;-3.89680384E8;722.0;0.0;18.0;VERY_HARD
hashi_0 - 2022-04-21T142514.284.txt;0.0;2.9964447;1.91711027E9;648.0;0.0;17.0;HARD
hashi_0 - 2022-04-21T142515.378.txt;0.0;3.0002594;1.64220813E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142516.192.txt;0.0;2.002716;5.6722048E8;512.0;0.0;15.0;EASY
hashi_0 - 2022-04-21T142517.254.txt;0.0;2.0046234;4.29444544E8;648.0;0.0;17.0;MEDIUM
hashi_0 - 2022-04-21T142518.369.txt;0.0;0.9994507;-2.13330867E9;578.0;0.0;16.0;HARD
hashi_0 - 2022-04-21T142519.418.txt;0.0;1.0032654;-1.66255872E8;512.0;0.0;15.0;PRETTY_EASY
hashi_0 - 2022-04-21T142558.588.txt;0.0;1.0032654;-1.66255872E8;512.0;0.0;15.0;SUPER_HARD
hashi_0 - 2022-04-21T142559.602.txt;0.0;1.0032654;-1.66255872E8;512.0;0.0;15.0;SUPER_HARD
hashi_0 - 2022-04-21T142600.560.txt;0.0;1.0032654;-1.66255872E8;512.0;0.0;15.0;VERY_HARD
hashi_0 - 2022-04-21T142601.542.txt;0.0;1.0032654;-1.66255872E8;512.0;0.0;15.0;VERY_HARD
hashi_0 - 2022-04-21T142602.611.txt;0.0;1.0032654;-1.66255872E8;512.0;0.0;15.0;SUPER_HARD
hashi_0 - 2022-04-21T142603.612.txt;0.0;260.00214;1.75389325E9;32768.0;0.0;127.0;EASY
hashi_0 - 2022-04-21T142604.464.txt;0.0;260.00214;1.75389325E9;32768.0;0.0;127.0;VERY_HARD
hashi_0 - 2022-04-21T142605.352.txt;1174.0;371.99783;-8.5341064E7;33800.0;1.0;129.0;HARD
hashi_0 - 2022-04-21T142606.369.txt;1174.0;371.99783;-8.5341064E7;33800.0;1.0;129.0;SUPER_HARD
hashi_0 - 2022-04-21T142607.473.txt;1174.0;371.99783;-8.5341064E7;33800.0;1.0;129.0;HARD
hashi_0 - 2022-04-21T142608.393.txt;1174.0;371.99783;-8.5341064E7;33800.0;1.0;129.0;VERY_HARD
hashi_0 - 2022-04-21T142609.390.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;PRETTY_EASY
hashi_0 - 2022-04-21T142610.278.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;PRETTY_EASY
hashi_0 - 2022-04-21T142611.246.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;HARD
hashi_0 - 2022-04-21T142612.318.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;SUPER_HARD
hashi_0 - 2022-04-21T142613.270.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;HARD
hashi_0 - 2022-04-21T142614.236.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;VERY_HARD
hashi_0 - 2022-04-21T142615.374.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;HARD
hashi_0 - 2022-04-21T142616.410.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;VERY_HARD
hashi_0 - 2022-04-21T142617.348.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;EASY
hashi_0 - 2022-04-21T142618.359.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;VERY_HARD
hashi_0 - 2022-04-21T142619.387.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;HARD
hashi_0 - 2022-04-21T142620.352.txt;0.0;217.96227;-1.18109427E9;30752.0;0.0;123.0;MEDIUM
hashi_0 - 2022-04-21T142621.451.txt;0.0;140.0032;5.549312E8;28800.0;0.0;119.0;PRETTY_EASY
hashi_0 - 2022-04-21T142622.337.txt;0.0;253.9978;2.35377584E8;34322.0;0.0;130.0;MEDIUM
hashi_0 - 2022-04-21T142623.452.txt;0.0;253.9978;2.35377584E8;34322.0;0.0;130.0;HARD
hashi_0 - 2022-04-21T142624.454.txt;0.0;157.99141;-1.3663826E7;29768.0;0.0;121.0;PRETTY_EASY
hashi_0 - 2022-04-21T142625.135.txt;0.0;157.99141;-1.3663826E7;29768.0;0.0;121.0;EASY
hashi_0 - 2022-04-21T142626.258.txt;0.0;141.00075;-5.6250016E8;31250.0;0.0;124.0;EASY
hashi_0 - 2022-04-21T142627.236.txt;0.0;141.00075;-5.6250016E8;31250.0;0.0;124.0;VERY_HARD
hashi_0 - 2022-04-21T142628.288.txt;0.0;141.00075;-5.6250016E8;31250.0;0.0;124.0;VERY_HARD
hashi_0 - 2022-04-21T142629.323.txt;0.0;141.00075;-5.6250016E8;31250.0;0.0;124.0;VERY_HARD
hashi_0 - 2022-04-21T142630.253.txt;0.0;141.00075;-5.6250016E8;31250.0;0.0;124.0;HARD
hashi_0 - 2022-04-21T142631.248.txt;4468.0;629.0016;1.73218765E9;36450.0;51.0;134.0;EASY
hashi_0 - 2022-04-21T142632.138.txt;4468.0;629.0016;1.73218765E9;36450.0;51.0;134.0;VERY_HARD
hashi_0 - 2022-04-21T142633.124.txt;4468.0;629.0016;1.73218765E9;36450.0;51.0;134.0;VERY_HARD
hashi_0 - 2022-04-21T142634.062.txt;4468.0;629.0016;1.73218765E9;36450.0;51.0;134.0;SUPER_HARD
hashi_0 - 2022-04-21T142634.851.txt;0.0;204.99992;-6.9878029E8;33282.0;0.0;128.0;PRETTY_EASY
hashi_0 - 2022-04-21T142635.978.txt;0.0;204.99992;-6.9878029E8;33282.0;0.0;128.0;HARD
hashi_0 - 2022-04-21T142636.971.txt;0.0;204.99992;-6.9878029E8;33282.0;0.0;128.0;VERY_HARD
hashi_0 - 2022-04-21T142638.014.txt;0.0;170.96329;2.00545638E9;32258.0;0.0;126.0;PRETTY_EASY
hashi_0 - 2022-04-21T142638.987.txt;0.0;170.96329;2.00545638E9;32258.0;0.0;126.0;HARD
hashi_0 - 2022-04-21T142640.421.txt;0.0;170.96329;2.00545638E9;32258.0;0.0;126.0;HARD
hashi_0 - 2022-04-21T142641.353.txt;0.0;159.99603;-1.34343206E9;32258.0;0.0;126.0;PRETTY_EASY
hashi_0 - 2022-04-21T142642.266.txt;0.0;159.99603;-1.34343206E9;32258.0;0.0;126.0;HARD
hashi_0 - 2022-04-21T142642.852.txt;0.0;159.99603;-1.34343206E9;32258.0;0.0;126.0;MEDIUM
hashi_0 - 2022-04-21T142643.580.txt;0.0;159.99603;-1.34343206E9;32258.0;0.0;126.0;HARD
