filename;size;leftoverTechniques;justEnoughDoubleNeighbours;oneUnsolvedNeighbour;islandRemainingValueEqualsToUnfinishedNeighboursRemainingValue;fourOnTheSide;sixInTheMiddle;threeInTheCornerFiveOnTheSideAndSevenInTheMiddle;islandRemainingValueEqualsToUnfinishedNeighboursRemainingBridges;isolationOfATwoIslandSegment;isolationOfASegment;isolationWhenASegmentConnectsToAnotherSegment;addRandomBridge;remainingIslands;remainingValue;sumValues;retry;correctlySolved;averageBridgeLength;averageNumberOfNeighbours;Time;difficulty
hashi_0 - 2022-04-21T142203.982.txt;121;19;1;9;6;0;0;8;2;3;0;0;0;0;0;0;0;true;1.3902439024390243;2.0;6;HARD
hashi_0 - 2022-04-21T142204.990.txt;121;20;3;4;4;0;0;4;0;7;0;1;1;3;4;0;10;false;1.45;2.025;4;HARD
hashi_0 - 2022-04-21T142204.990.txt;121;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;false;1.45;2.025;1;HARD
hashi_0 - 2022-04-21T142204.990.txt;121;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;false;1.45;2.025;1;VERY_HARD
hashi_0 - 2022-04-21T142204.990.txt;49;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.764705882352941;1;MEDIUM
hashi_0 - 2022-04-21T142204.990.txt;49;12;0;1;0;0;0;0;0;2;0;1;1;0;0;0;1;false;1.45;4.2631578947368425;3;VERY_HARD
hashi_0 - 2022-04-21T142204.990.txt;49;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.5;1;PRETTY_EASY
hashi_0 - 2022-04-21T142204.990.txt;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.5;0;HARD
hashi_0 - 2022-04-21T142204.990.txt;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.764705882352941;1;SUPER_HARD
hashi_0 - 2022-04-21T142204.990.txt;49;4;2;0;2;0;0;4;0;2;0;0;1;0;0;0;1;false;1.45;4.5;1;SUPER_HARD
hashi_0 - 2022-04-21T142204.990.txt;49;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.764705882352941;0;EASY
hashi_0 - 2022-04-21T142204.990.txt;49;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;5.0625;0;PRETTY_EASY
hashi_0 - 2022-04-21T142204.990.txt;49;4;0;0;2;0;0;0;0;2;0;0;1;0;0;0;1;false;1.45;4.5;0;HARD
hashi_0 - 2022-04-21T142204.990.txt;49;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;false;1.45;4.764705882352941;0;SUPER_HARD
hashi_0 - 2022-04-21T142204.990.txt;49;3;1;0;0;0;0;4;0;3;0;0;0;0;0;0;1;false;1.45;4.05;0;SUPER_HARD
hashi_0 - 2022-04-21T142204.990.txt;49;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;false;1.45;5.0625;1;HARD
hashi_0 - 2022-04-21T142204.990.txt;49;4;2;1;0;0;0;3;0;1;0;0;0;0;0;0;1;false;1.45;4.764705882352941;0;HARD
hashi_0 - 2022-04-21T142204.990.txt;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.2631578947368425;0;MEDIUM
hashi_0 - 2022-04-21T142204.990.txt;49;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;false;1.45;4.5;0;VERY_HARD
