filename;size;leftoverTechniques;justEnoughDoubleNeighbours;oneUnsolvedNeighbour;islandRemainingValueEqualsToUnfinishedNeighboursRemainingValue;fourOnTheSide;sixInTheMiddle;threeInTheCornerFiveOnTheSideAndSevenInTheMiddle;islandRemainingValueEqualsToUnfinishedNeighboursRemainingBridges;isolationOfATwoIslandSegment;isolationOfASegment;isolationWhenASegmentConnectsToAnotherSegment;addRandomBridge;remainingIslands;remainingValue;sumValues;retry;correctlySolved;averageBridgeLength;averageNumberOfNeighbours;Time;difficulty
hashi_0 - 2022-04-21T142204.990.txt;121.0;16.0;7.0;5.0;2.0;0.0;0.0;2.0;0.0;9.0;0.0;0.0;2.0;2.0;2.0;92.0;622885.0;0.0;1.5277778;1.925;1000.0;HARD
hashi_0 - 2022-04-21T142206.125.txt;121.0;16.0;0.0;6.0;3.0;0.0;3.0;9.0;8.0;9.0;0.0;0.0;0.0;0.0;0.0;110.0;0.0;1.0;1.2954545;44594.00;1.0;HARD
hashi_0 - 2022-04-21T142207.529.txt;121.0;16.0;3.0;6.0;5.0;0.0;0.0;10.0;1.0;7.0;0.0;1.0;0.0;0.0;0.0;94.0;0.0;0.0;44566.00;2.325;2.0;VERY_HARD
hashi_0 - 2022-04-21T142355.818.txt;49.0;10.0;0.0;4.0;3.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0;0.0;1.0;1.4117647;2.0;0.0;MEDIUM
hashi_0 - 2022-04-21T142356.699.txt;49.0;9.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;40.0;11.0;0.0;1.2352941;1.7894737;1.0;VERY_HARD
hashi_0 - 2022-04-21T142357.592.txt;49.0;10.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;1.0;1.2352941;1.8888888;0.0;PRETTY_EASY
hashi_0 - 2022-04-21T142358.409.txt;49.0;9.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0;1.0;1.2352941;1.8888888;0.0;HARD
hashi_0 - 2022-04-21T142359.392.txt;49.0;5.0;1.0;4.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;2.0;1.0;0.0;0.0;38.0;0.0;1.0;1.375;1.882353;1.0;SUPER_HARD
hashi_0 - 2022-04-21T142400.493.txt;49.0;5.0;2.0;3.0;3.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;48.0;5.0;1.0;1.2105263;2.1111112;1.0;SUPER_HARD
hashi_0 - 2022-04-21T142401.420.txt;49.0;8.0;2.0;4.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;44.0;17.0;1.0;1.3529412;2.0;2.0;EASY
