filename;iterCount;barIterCount;runtime;fingerprint;numVars;nodeCount;solCount;maxBound;minBound;maxObjCoeff;minObjCoeff;maxRHS;minRHS;level
hashi_0 - 2022-04-21T142203.982.txt;0.0;0.0;0.012002944946289062;2096477230;3362;0.0;1;2.0;1.0;0.0;0.0;40.0;1.0;HARD
hashi_0 - 2022-04-21T142204.990.txt;0.0;0.0;0.024005889892578125;399949999;3200;0.0;1;2.0;1.0;0.0;0.0;39.0;1.0;HARD
hashi_0 - 2022-04-21T142206.125.txt;0.0;0.0;0.0110015869140625;-675417821;3200;0.0;1;2.0;1.0;0.0;0.0;39.0;1.0;HARD
hashi_0 - 2022-04-21T142207.529.txt;0.0;0.0;0.044002532958984375;704609958;3200;0.0;1;2.0;1.0;0.0;0.0;39.0;1.0;VERY_HARD
hashi_0 - 2022-04-21T142355.818.txt;0.0;0.0;0.0010013580322265625;142620199;578;0.0;1;2.0;1.0;0.0;0.0;16.0;1.0;MEDIUM
hashi_0 - 2022-04-21T142356.699.txt;0.0;0.0;0.0019989013671875;597003387;722;0.0;1;2.0;1.0;0.0;0.0;18.0;1.0;VERY_HARD
hashi_0 - 2022-04-21T142357.592.txt;0.0;0.0;0.0029964447021484375;-826881947;648;0.0;1;2.0;1.0;0.0;0.0;17.0;1.0;PRETTY_EASY
hashi_0 - 2022-04-21T142358.409.txt;0.0;0.0;0.002002716064453125;-1949713600;648;0.0;1;2.0;1.0;0.0;0.0;17.0;1.0;HARD
hashi_0 - 2022-04-21T142359.392.txt;0.0;0.0;0.015003204345703125;2096292329;578;0.0;1;2.0;1.0;0.0;0.0;16.0;1.0;SUPER_HARD
hashi_0 - 2022-04-21T142400.493.txt;0.0;0.0;0.015001296997070312;11263544;648;0.0;1;2.0;1.0;0.0;0.0;17.0;1.0;SUPER_HARD
hashi_0 - 2022-04-21T142401.420.txt;0.0;0.0;0.0019989013671875;-217122335;578;0.0;1;2.0;1.0;0.0;0.0;16.0;1.0;EASY
hashi_0 - 2022-04-21T142402.501.txt;0.0;0.0;0.0019969940185546875;-1524096563;512;0.0;1;2.0;1.0;0.0;0.0;15.0;1.0;PRETTY_EASY
hashi_0 - 2022-04-21T142403.409.txt;0.0;0.0;9.975433349609375E-4;-344437772;648;0.0;1;2.0;1.0;0.0;0.0;17.0;1.0;HARD
hashi_0 - 2022-04-21T142404.293.txt;0.0;0.0;0.0019989013671875;-196869679;578;0.0;1;2.0;1.0;0.0;0.0;16.0;1.0;SUPER_HARD
hashi_0 - 2022-04-21T142405.284.txt;0.0;0.0;0.0020008087158203125;-378063383;800;0.0;1;2.0;1.0;0.0;0.0;19.0;1.0;SUPER_HARD
hashi_0 - 2022-04-21T142406.313.txt;0.0;0.0;0.0019969940185546875;1511878809;512;0.0;1;2.0;1.0;0.0;0.0;15.0;1.0;HARD
hashi_0 - 2022-04-21T142407.273.txt;0.0;0.0;0.0010013580322265625;-1045099309;578;0.0;1;2.0;1.0;0.0;0.0;16.0;1.0;HARD
