filename;size;leftoverTechniques;justEnoughDoubleNeighbours;oneUnsolvedNeighbour;islandRemainingValueEqualsToUnfinishedNeighboursRemainingValue;fourOnTheSide;sixInTheMiddle;threeInTheCornerFiveOnTheSideAndSevenInTheMiddle;islandRemainingValueEqualsToUnfinishedNeighboursRemainingBridges;isolationOfATwoIslandSegment;isolationOfASegment;isolationWhenASegmentConnectsToAnIsland;isolationWhenASegmentConnectsToAnotherSegment;remainingIslands;remainingValue;difficulty
7_7_easy.txt;49;6;0;5;2;0;0;4;0;2;0;0;0;0;0;EASY
7_7_hard.txt;49;10;2;0;0;0;0;0;0;625209;0;0;0;10;10;HARD
7_7_medium.txt;49;7;0;5;3;0;0;4;0;1;0;0;0;0;0;MEDIUM
7_7_very_easy.txt;49;11;4;2;2;0;0;0;0;0;0;0;0;0;0;EASY
7_7_very_hard.txt;49;6;0;1;0;0;0;2;0;182511;0;0;0;12;16;HARD
11_11_easy.txt;121;19;5;8;4;0;0;15;0;1;0;0;0;0;0;EASY
11_11_easy_2.txt;121;16;1;9;6;0;0;12;2;2;0;0;0;0;0;EASY
11_11_hard.txt;121;6;0;0;0;0;0;2;0;10;0;0;0;25;44;HARD
11_11_medium.txt;121;13;0;3;4;0;326520;5;2;217679;0;0;0;16;30;MEDIUM
11_11_medium_2.txt;121;17;1;5;8;0;0;16;6;4;0;0;0;0;0;MEDIUM
11_11_super_hard.txt;121;7;0;0;2;0;0;6;0;3;0;0;0;35;66;HARD
11_11_very_easy.txt;121;17;0;11;15;0;0;0;0;0;0;0;0;3;0;EASY
11_11_very_easy_2.txt;121;25;11;7;6;0;3;0;2;0;0;0;0;0;0;EASY
11_11_very_hard.txt;121;11;0;1;3;0;0;5;0;89461;0;0;0;23;38;HARD
