filename;size;leftoverTechniques;justEnoughDoubleNeighbours;oneUnsolvedNeighbour;islandRemainingValueEqualsToUnfinishedNeighboursRemainingValue;fourOnTheSide;sixInTheMiddle;threeInTheCornerFiveOnTheSideAndSevenInTheMiddle;islandRemainingValueEqualsToUnfinishedNeighboursRemainingBridges;isolationOfATwoIslandSegment;isolationOfASegment;isolationWhenASegmentConnectsToAnotherSegment;addRandomBridge;remainingIslands;remainingValue;sumValues;retry;correctlySolved;averageBridgeLength;averageNumberOfNeighbours;Time;difficulty
hashi_0 - 2022-04-21T171105.755.txt;625;28;10;7;7;0;6;29;3;20;0;3;1;134;318;568;10;false;1.4019607843137254;1.0408163265306123;82;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;17;2;0;3;0;0;36;4;0;0;0;0;124;288;572;10;false;1.407079646017699;1.1709844559585492;34;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;8;22;2;0;0;0;5;0;0;0;1;0;117;262;876;10;false;1.4;1.2755102040816326;7;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;10;4;1;3;0;3;9;5;1;0;0;0;106;222;524;10;false;1.4028776978417266;1.5191256830601092;9;SUPER_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;10;9;0;2;0;12;28;2;1;0;1;0;96;190;594;10;false;1.389261744966443;1.5360824742268042;14;HARD
hashi_0 - 2022-04-21T171105.755.txt;625;8;4;0;2;0;6;9;0;1;0;0;1;92;170;568;10;false;1.389937106918239;1.6224489795918366;19;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;1;4;0;2;0;0;0;0;1;0;0;3;89;158;576;10;false;1.393939393939394;1.6923076923076923;7;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;11;3;5;4;0;12;19;5;1;0;0;0;76;134;598;10;false;1.3859649122807018;1.7014925373134329;7;HARD
hashi_0 - 2022-04-21T171105.755.txt;625;0;5;4;0;0;0;0;0;0;0;0;2;67;116;608;10;false;1.3806818181818181;1.7339901477832513;6;SUPER_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;25;9;11;8;0;6;16;2;13;0;0;1;52;82;568;10;false;1.3770491803278688;1.8208955223880596;15;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;11;7;5;10;0;3;15;4;0;0;0;1;31;46;552;10;false;1.3958333333333333;1.9393939393939394;6;VERY_HARD
hashi_0 - 2022-04-21T171105.755.txt;625;17;9;9;6;0;6;34;5;2;0;0;0;9;6;622;10;false;1.386138613861386;2.1041666666666665;6;SUPER_HARD
