filename;size;leftoverTechniques;justEnoughDoubleNeighbours;oneUnsolvedNeighbour;islandRemainingValueEqualsToUnfinishedNeighboursRemainingValue;fourOnTheSide;sixInTheMiddle;threeInTheCornerFiveOnTheSideAndSevenInTheMiddle;islandRemainingValueEqualsToUnfinishedNeighboursRemainingBridges;isolationOfATwoIslandSegment;isolationOfASegment;isolationWhenASegmentConnectsToAnIsland;isolationWhenASegmentConnectsToAnotherSegment;remainingIslands;remainingValue;difficulty
7_7_easy.txt;49;6;0;5;2;0;0;4;0;2;0;0;0;0;0;EASY
7_7_hard.txt;49;10;2;0;0;0;0;0;0;3;0;0;0;10;10;HARD
7_7_medium.txt;49;7;0;5;3;0;0;4;0;1;0;0;0;0;0;MEDIUM
7_7_very_easy.txt;49;11;4;2;2;0;0;0;0;0;0;0;0;0;0;EASY
7_7_very_hard.txt;49;6;0;1;0;0;0;2;0;2;0;0;0;12;16;HARD
9_9_easy.txt;81;13;2;3;5;0;0;11;2;1;0;0;0;0;0;EASY
9_9_medium.txt;81;10;4;7;6;0;0;6;2;0;0;0;0;0;0;MEDIUM
11_11_easy.txt;121;19;5;8;4;0;0;15;0;1;0;0;0;0;0;EASY
9_9_hard.txt;81;16;0;6;0;0;0;0;0;5;0;0;0;0;0;HARD
11_11_easy_2.txt;121;16;1;9;6;0;0;12;2;2;0;0;0;0;0;EASY
11_11_hard.txt;121;6;0;0;0;0;0;2;0;10;0;0;0;25;44;HARD
11_11_hard_2.txt;121;23;1;6;9;0;3;4;2;4;0;0;0;0;0;HARD
11_11_medium.txt;121;13;0;3;4;0;3;5;2;4;0;0;0;16;30;MEDIUM
11_11_medium_2.txt;121;17;1;5;8;0;0;16;6;3;0;0;0;0;0;MEDIUM
11_11_super_hard.txt;121;3;0;0;0;0;0;6;0;2;0;0;0;40;80;HARD
11_11_very_easy_2.txt;121;25;11;6;6;0;0;4;2;0;0;0;0;0;0;EASY
11_11_very_hard.txt;121;11;0;1;3;0;0;5;0;9;0;0;0;23;38;HARD
